========================================
[2026-04-22 23:00:01] 자동 업로드 시작
[23:06:46] ⚠️ 01-일일-메모/시스템-자동완료체크-20260417.md 실패 (1/3)
[23:06:51] ⚠️ 01-일일-메모/시스템-자동완료체크-20260417.md 실패 (2/3)
[23:06:56] ⚠️ 01-일일-메모/시스템-자동완료체크-20260417.md 실패 (3/3)
[23:07:01] ❌ 01-일일-메모/시스템-자동완료체크-20260417.md 최종 실패
[23:07:01] ⚠️ 01-일일-메모/2026-04-19-제품-검색-시스템-개발.md 실패 (1/3)
[23:07:07] ⚠️ 01-일일-메모/2026-04-19-제품-검색-시스템-개발.md 실패 (2/3)
[23:07:12] ⚠️ 01-일일-메모/2026-04-19-제품-검색-시스템-개발.md 실패 (3/3)
[23:07:17] ❌ 01-일일-메모/2026-04-19-제품-검색-시스템-개발.md 최종 실패
[23:07:17] ⚠️ 01-일일-메모/2026-04-19-데이터-정제-작업.md 실패 (1/3)
[23:07:22] ⚠️ 01-일일-메모/2026-04-19-데이터-정제-작업.md 실패 (2/3)
[23:07:27] ⚠️ 01-일일-메모/2026-04-19-데이터-정제-작업.md 실패 (3/3)
[23:07:32] ❌ 01-일일-메모/2026-04-19-데이터-정제-작업.md 최종 실패
[23:07:33] ⚠️ 01-일일-메모/2026-04-19-PostgreSQL-데이터베이스-구축.md 실패 (1/3)
[23:07:38] ⚠️ 01-일일-메모/2026-04-19-PostgreSQL-데이터베이스-구축.md 실패 (2/3)
[23:07:43] ⚠️ 01-일일-메모/2026-04-19-PostgreSQL-데이터베이스-구축.md 실패 (3/3)
[23:07:48] ❌ 01-일일-메모/2026-04-19-PostgreSQL-데이터베이스-구축.md 최종 실패
[23:07:48] ⚠️ 01-일일-메모/2026-04-17-자동완료체크시스템.md 실패 (1/3)
[23:07:53] ⚠️ 01-일일-메모/2026-04-17-자동완료체크시스템.md 실패 (2/3)
[23:07:58] ⚠️ 01-일일-메모/2026-04-17-자동완료체크시스템.md 실패 (3/3)
[23:08:03] ❌ 01-일일-메모/2026-04-17-자동완료체크시스템.md 최종 실패
[23:08:04] ⚠️ 01-일일-메모/2026-04-16-404-status-code-no-body.md 실패 (1/3)
[23:08:09] ⚠️ 01-일일-메모/2026-04-16-404-status-code-no-body.md 실패 (2/3)
[23:08:14] ⚠️ 01-일일-메모/2026-04-16-404-status-code-no-body.md 실패 (3/3)
[23:08:19] ❌ 01-일일-메모/2026-04-16-404-status-code-no-body.md 최종 실패
[23:08:19] ⚠️ 01-일일-메모/2026-04-14-플래이트립.md 실패 (1/3)
[23:08:24] ⚠️ 01-일일-메모/2026-04-14-플래이트립.md 실패 (2/3)
[23:08:29] ⚠️ 01-일일-메모/2026-04-14-플래이트립.md 실패 (3/3)
[23:08:34] ❌ 01-일일-메모/2026-04-14-플래이트립.md 최종 실패
[23:08:35] ⚠️ 01-일일-메모/weekly_20260420.md 실패 (1/3)
[23:08:40] ⚠️ 01-일일-메모/weekly_20260420.md 실패 (2/3)
[23:08:45] ⚠️ 01-일일-메모/weekly_20260420.md 실패 (3/3)
[23:08:50] ❌ 01-일일-메모/weekly_20260420.md 최종 실패
[23:08:50] ⚠️ 01-일일-메모/index.md 실패 (1/3)
[23:08:55] ⚠️ 01-일일-메모/index.md 실패 (2/3)
[23:09:00] ⚠️ 01-일일-메모/index.md 실패 (3/3)
[23:09:05] ❌ 01-일일-메모/index.md 최종 실패
[23:09:06] ⚠️ 01-일일-메모/2026-04-18.md 실패 (1/3)
[23:09:11] ⚠️ 01-일일-메모/2026-04-18.md 실패 (2/3)
[23:09:16] ⚠️ 01-일일-메모/2026-04-18.md 실패 (3/3)
[23:09:21] ❌ 01-일일-메모/2026-04-18.md 최종 실패
[23:09:22] ⚠️ 01-일일-메모/2026-04-17.md 실패 (1/3)
[23:09:27] ⚠️ 01-일일-메모/2026-04-17.md 실패 (2/3)
[23:09:32] ⚠️ 01-일일-메모/2026-04-17.md 실패 (3/3)
[23:09:37] ❌ 01-일일-메모/2026-04-17.md 최종 실패
[23:09:37] ⚠️ 01-일일-메모/2026-04-16.md 실패 (1/3)
[23:09:42] ⚠️ 01-일일-메모/2026-04-16.md 실패 (2/3)
[23:09:47] ⚠️ 01-일일-메모/2026-04-16.md 실패 (3/3)
[23:09:52] ❌ 01-일일-메모/2026-04-16.md 최종 실패
[23:09:53] ⚠️ 01-일일-메모/2026-04-15.md 실패 (1/3)
[23:09:58] ⚠️ 01-일일-메모/2026-04-15.md 실패 (2/3)
[23:10:03] ⚠️ 01-일일-메모/2026-04-15.md 실패 (3/3)
[23:10:08] ❌ 01-일일-메모/2026-04-15.md 최종 실패
[23:10:08] ⚠️ 01-일일-메모/2026-04-14.md 실패 (1/3)
[23:10:13] ⚠️ 01-일일-메모/2026-04-14.md 실패 (2/3)
[23:10:18] ⚠️ 01-일일-메모/2026-04-14.md 실패 (3/3)
[23:10:23] ❌ 01-일일-메모/2026-04-14.md 최종 실패
[23:10:24] ⚠️ 01-일일-메모/2026-04-13.md 실패 (1/3)
[23:10:29] ⚠️ 01-일일-메모/2026-04-13.md 실패 (2/3)
[23:10:34] ⚠️ 01-일일-메모/2026-04-13.md 실패 (3/3)
[23:10:39] ❌ 01-일일-메모/2026-04-13.md 최종 실패
[23:10:39] ⚠️ 01-일일-메모/2026-04-12.md 실패 (1/3)
[23:10:44] ⚠️ 01-일일-메모/2026-04-12.md 실패 (2/3)
[23:10:49] ⚠️ 01-일일-메모/2026-04-12.md 실패 (3/3)
[23:10:54] ❌ 01-일일-메모/2026-04-12.md 최종 실패
[23:10:55] ⚠️ 01-일일-메모/2026-04-11.md 실패 (1/3)
[23:11:00] ⚠️ 01-일일-메모/2026-04-11.md 실패 (2/3)
[23:11:05] ⚠️ 01-일일-메모/2026-04-11.md 실패 (3/3)
[23:11:10] ❌ 01-일일-메모/2026-04-11.md 최종 실패
[23:11:10] ⚠️ 01-일일-메모/2026-04-10.md 실패 (1/3)
[23:11:16] ⚠️ 01-일일-메모/2026-04-10.md 실패 (2/3)
[23:11:21] ⚠️ 01-일일-메모/2026-04-10.md 실패 (3/3)
[23:11:26] ❌ 01-일일-메모/2026-04-10.md 최종 실패
[23:11:26] ⚠️ 01-일일-메모/2026-04-09.md 실패 (1/3)
[23:11:31] ⚠️ 01-일일-메모/2026-04-09.md 실패 (2/3)
[23:11:36] ⚠️ 01-일일-메모/2026-04-09.md 실패 (3/3)
[23:11:41] ❌ 01-일일-메모/2026-04-09.md 최종 실패
[23:11:42] ⚠️ 01-일일-메모/2026-04-08.md 실패 (1/3)
[23:11:47] ⚠️ 01-일일-메모/2026-04-08.md 실패 (2/3)
[23:11:52] ⚠️ 01-일일-메모/2026-04-08.md 실패 (3/3)
[23:11:57] ❌ 01-일일-메모/2026-04-08.md 최종 실패
[23:11:57] ⚠️ 01-일일-메모/2026-04-07.md 실패 (1/3)
[23:12:02] ⚠️ 01-일일-메모/2026-04-07.md 실패 (2/3)
[23:12:07] ⚠️ 01-일일-메모/2026-04-07.md 실패 (3/3)
[23:12:12] ❌ 01-일일-메모/2026-04-07.md 최종 실패
[23:12:13] ⚠️ 01-일일-메모/2026-04-06.md 실패 (1/3)
[23:12:18] ⚠️ 01-일일-메모/2026-04-06.md 실패 (2/3)
[23:12:23] ⚠️ 01-일일-메모/2026-04-06.md 실패 (3/3)
[23:12:28] ❌ 01-일일-메모/2026-04-06.md 최종 실패
[23:12:28] ⚠️ 00-코딩-프로젝트/index.md 실패 (1/3)
[23:12:33] ⚠️ 00-코딩-프로젝트/index.md 실패 (2/3)
[23:12:38] ⚠️ 00-코딩-프로젝트/index.md 실패 (3/3)
[23:12:43] ❌ 00-코딩-프로젝트/index.md 최종 실패
[23:12:44] ⚠️ 00-코딩-프로젝트/02-키-프로젝트/README.md 실패 (1/3)
[23:12:49] ⚠️ 00-코딩-프로젝트/02-키-프로젝트/README.md 실패 (2/3)
[23:12:54] ⚠️ 00-코딩-프로젝트/02-키-프로젝트/README.md 실패 (3/3)
[23:12:59] ❌ 00-코딩-프로젝트/02-키-프로젝트/README.md 최종 실패
[23:12:59] ⚠️ 00-코딩-프로젝트/02-키-프로젝트/데이터-관리/키프로젝트-진행상황-20260417.md 실패 (1/3)
[23:13:04] ⚠️ 00-코딩-프로젝트/02-키-프로젝트/데이터-관리/키프로젝트-진행상황-20260417.md 실패 (2/3)
[23:13:09] ⚠️ 00-코딩-프로젝트/02-키-프로젝트/데이터-관리/키프로젝트-진행상황-20260417.md 실패 (3/3)
[23:13:14] ❌ 00-코딩-프로젝트/02-키-프로젝트/데이터-관리/키프로젝트-진행상황-20260417.md 최종 실패
[23:13:15] ⚠️ 00-코딩-프로젝트/02-키-프로젝트/API-연동/키움API-정상동작-가이드.md 실패 (1/3)
[23:13:20] ⚠️ 00-코딩-프로젝트/02-키-프로젝트/API-연동/키움API-정상동작-가이드.md 실패 (2/3)
[23:13:25] ⚠️ 00-코딩-프로젝트/02-키-프로젝트/API-연동/키움API-정상동작-가이드.md 실패 (3/3)
[23:13:30] ❌ 00-코딩-프로젝트/02-키-프로젝트/API-연동/키움API-정상동작-가이드.md 최종 실패
[23:13:31] ⚠️ 00-코딩-프로젝트/02-키-프로젝트/API-연동/키움 실패 (1/3)
[23:13:36] ⚠️ 00-코딩-프로젝트/02-키-프로젝트/API-연동/키움 실패 (2/3)
[23:13:41] ⚠️ 00-코딩-프로젝트/02-키-프로젝트/API-연동/키움 실패 (3/3)
[23:13:46] ❌ 00-코딩-프로젝트/02-키-프로젝트/API-연동/키움 최종 실패
[23:13:46] ⚠️ API 실패 (1/3)
[23:13:51] ⚠️ API 실패 (2/3)
[23:13:56] ⚠️ API 실패 (3/3)
[23:14:01] ❌ API 최종 실패
[23:14:02] ⚠️ 실거래 실패 (1/3)
[23:14:07] ⚠️ 실거래 실패 (2/3)
[23:14:12] ⚠️ 실거래 실패 (3/3)
[23:14:17] ❌ 실거래 최종 실패
[23:14:17] ⚠️ 메뉴얼.md 실패 (1/3)
[23:14:22] ⚠️ 메뉴얼.md 실패 (2/3)
[23:14:27] ⚠️ 메뉴얼.md 실패 (3/3)
[23:14:32] ❌ 메뉴얼.md 최종 실패
[23:14:33] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/omo_coding_task.md 실패 (1/3)
[23:14:38] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/omo_coding_task.md 실패 (2/3)
[23:14:43] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/omo_coding_task.md 실패 (3/3)
[23:14:48] ❌ 00-코딩-프로젝트/01-VF-프로젝트/omo_coding_task.md 최종 실패
[23:14:48] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/README.md 실패 (1/3)
[23:14:53] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/README.md 실패 (2/3)
[23:14:58] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/README.md 실패 (3/3)
[23:15:03] ❌ 00-코딩-프로젝트/01-VF-프로젝트/README.md 최종 실패
[23:15:04] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/QUICK-START.md 실패 (1/3)
[23:15:09] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/QUICK-START.md 실패 (2/3)
[23:15:14] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/QUICK-START.md 실패 (3/3)
[23:15:19] ❌ 00-코딩-프로젝트/01-VF-프로젝트/QUICK-START.md 최종 실패
[23:15:19] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/개별-생산-계획-메모-시스템.md 실패 (1/3)
[23:15:24] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/개별-생산-계획-메모-시스템.md 실패 (2/3)
[23:15:30] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/개별-생산-계획-메모-시스템.md 실패 (3/3)
[23:15:35] ❌ 00-코딩-프로젝트/01-VF-프로젝트/개별-생산-계획-메모-시스템.md 최종 실패
[23:15:35] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/VF-생산-계획-DB-매칭-시스템.md 실패 (1/3)
[23:15:40] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/VF-생산-계획-DB-매칭-시스템.md 실패 (2/3)
[23:15:45] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/VF-생산-계획-DB-매칭-시스템.md 실패 (3/3)
[23:15:50] ❌ 00-코딩-프로젝트/01-VF-프로젝트/VF-생산-계획-DB-매칭-시스템.md 최종 실패
[23:15:51] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/VF-생산-계획-시스템-작업-규칙.md 실패 (1/3)
[23:15:56] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/VF-생산-계획-시스템-작업-규칙.md 실패 (2/3)
[23:16:01] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/VF-생산-계획-시스템-작업-규칙.md 실패 (3/3)
[23:16:06] ❌ 00-코딩-프로젝트/01-VF-프로젝트/VF-생산-계획-시스템-작업-규칙.md 최종 실패
[23:16:06] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/창고-관리-시스템-설계.md 실패 (1/3)
[23:16:11] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/창고-관리-시스템-설계.md 실패 (2/3)
[23:16:16] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/창고-관리-시스템-설계.md 실패 (3/3)
[23:16:21] ❌ 00-코딩-프로젝트/01-VF-프로젝트/창고-관리-시스템-설계.md 최종 실패
[23:16:22] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/관리자-직접-해결책.md 실패 (1/3)
[23:16:27] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/관리자-직접-해결책.md 실패 (2/3)
[23:16:32] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/관리자-직접-해결책.md 실패 (3/3)
[23:16:37] ❌ 00-코딩-프로젝트/01-VF-프로젝트/관리자-직접-해결책.md 최종 실패
[23:16:37] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/관리자-작업-로그.md 실패 (1/3)
[23:16:42] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/관리자-작업-로그.md 실패 (2/3)
[23:16:47] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/관리자-작업-로그.md 실패 (3/3)
[23:16:52] ❌ 00-코딩-프로젝트/01-VF-프로젝트/관리자-작업-로그.md 최종 실패
[23:16:53] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/VF-출고탭-구글시트-문제-최종해결책.md 실패 (1/3)
[23:16:58] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/VF-출고탭-구글시트-문제-최종해결책.md 실패 (2/3)
[23:17:03] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/VF-출고탭-구글시트-문제-최종해결책.md 실패 (3/3)
[23:17:08] ❌ 00-코딩-프로젝트/01-VF-프로젝트/VF-출고탭-구글시트-문제-최종해결책.md 최종 실패
[23:17:08] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/README-APPLY.md 실패 (1/3)
[23:17:13] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/README-APPLY.md 실패 (2/3)
[23:17:18] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/README-APPLY.md 실패 (3/3)
[23:17:23] ❌ 00-코딩-프로젝트/01-VF-프로젝트/README-APPLY.md 최종 실패
[23:17:24] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/Claude-Code-타임아웃-해결-가이드.md 실패 (1/3)
[23:17:29] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/Claude-Code-타임아웃-해결-가이드.md 실패 (2/3)
[23:17:34] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/Claude-Code-타임아웃-해결-가이드.md 실패 (3/3)
[23:17:39] ❌ 00-코딩-프로젝트/01-VF-프로젝트/Claude-Code-타임아웃-해결-가이드.md 최종 실패
[23:17:40] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/Claude-Code-생성-결과-요약.md 실패 (1/3)
[23:17:45] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/Claude-Code-생성-결과-요약.md 실패 (2/3)
[23:17:50] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/Claude-Code-생성-결과-요약.md 실패 (3/3)
[23:17:55] ❌ 00-코딩-프로젝트/01-VF-프로젝트/Claude-Code-생성-결과-요약.md 최종 실패
[23:17:55] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/재고-관리/창고-시스템/warehouse_system_design.md 실패 (1/3)
[23:18:00] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/재고-관리/창고-시스템/warehouse_system_design.md 실패 (2/3)
[23:18:05] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/재고-관리/창고-시스템/warehouse_system_design.md 실패 (3/3)
[23:18:10] ❌ 00-코딩-프로젝트/01-VF-프로젝트/재고-관리/창고-시스템/warehouse_system_design.md 최종 실패
[23:18:11] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-15-DB동기화-에이전트역할정리.md 실패 (1/3)
[23:18:16] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-15-DB동기화-에이전트역할정리.md 실패 (2/3)
[23:18:21] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-15-DB동기화-에이전트역할정리.md 실패 (3/3)
[23:18:26] ❌ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-15-DB동기화-에이전트역할정리.md 최종 실패
[23:18:26] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-13_결정사항-서버재시작-이전계획ended.md 실패 (1/3)
[23:18:31] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-13_결정사항-서버재시작-이전계획ended.md 실패 (2/3)
[23:18:36] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-13_결정사항-서버재시작-이전계획ended.md 실패 (3/3)
[23:18:41] ❌ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-13_결정사항-서버재시작-이전계획ended.md 최종 실패
[23:18:42] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-12_ObsidianVault-재고탭-OLLAMA제거.md 실패 (1/3)
[23:18:47] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-12_ObsidianVault-재고탭-OLLAMA제거.md 실패 (2/3)
[23:18:52] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-12_ObsidianVault-재고탭-OLLAMA제거.md 실패 (3/3)
[23:18:57] ❌ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-12_ObsidianVault-재고탭-OLLAMA제거.md 최종 실패
[23:18:57] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-11_포트변경-로그인플로우.md 실패 (1/3)
[23:19:02] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-11_포트변경-로그인플로우.md 실패 (2/3)
[23:19:07] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-11_포트변경-로그인플로우.md 실패 (3/3)
[23:19:12] ❌ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-11_포트변경-로그인플로우.md 최종 실패
[23:19:13] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-10_AI-thinking-필터링.md 실패 (1/3)
[23:19:18] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-10_AI-thinking-필터링.md 실패 (2/3)
[23:19:23] ⚠️ 00-코딩-프로젝트/01-VF-프로젝트/세션로그/2026-04-10_AI-thinking-필터링.md 실패 (3/3)
